job_id,title,description_mission_anglais,categorie_mission,location
job_113,Agricultural consulting in El Bayadh,Agriculture & Gardening professional wanted for Agricultural consulting in El Bayadh. Medium-term project with possibility for extension.,Agriculture & Gardening,El Bayadh
job_114,Jewelry making in Relizane,Looking for an experienced professional for Jewelry making in Relizane. The work involves immediate assistance with competitive compensation.,Handcrafts,Relizane
job_115,City tours in El Tarf,Looking for an experienced professional for City tours in El Tarf. The work involves immediate assistance with competitive compensation.,Transportation,El Tarf
job_116,French language lessons in Tipaza,Teaching & Education professional wanted for French language lessons in Tipaza. Short-term project with possibility for extension.,Teaching & Education,Tipaza
job_117,Massage therapy in Tiaret,Hiring for Massage therapy in the Tiaret area. Training provided. Fair payment and potential for regular work.,Beauty & Wellness,Tiaret
job_118,Irrigation system installation in Tiaret,Looking for talented agriculture & gardening specialist for Irrigation system installation work in Tiaret. Project starts immediately.,Agriculture & Gardening,Tiaret
job_119,Airport pickup in Naâma,Need assistance with Airport pickup in Naâma. Ideal for retirees with knowledge in transportation.,Transportation,Naâma
job_120,Home appliance repair in Tindouf,Need assistance with Home appliance repair in Tindouf. Ideal for students with knowledge in maintenance & repairs.,Maintenance & Repairs,Tindouf
job_121,Airport pickup in Annaba,Airport pickup expert needed in Annaba. Project involves residential work. Good communication skills and punctuality essential.,Transportation,Annaba
job_122,Traditional carpet making in Adrar,Looking for talented handcrafts specialist for Traditional carpet making work in Adrar. Project starts upon agreement.,Handcrafts,Adrar
job_123,Intercity transport in Skikda,Transportation professional wanted for Intercity transport in Skikda. Recurring project with possibility for extension.,Transportation,Skikda
job_124,E-commerce setup in Aïn Témouchent,Need assistance with E-commerce setup in Aïn Témouchent. Ideal for professionals with knowledge in digital services.,Digital Services,Aïn Témouchent
job_125,Makeup services in Mostaganem,Makeup services expert needed in Mostaganem. Project involves commercial space. Good communication skills and punctuality essential.,Beauty & Wellness,Mostaganem
job_126,Traditional pastry making in Tébessa,Hiring for Traditional pastry making in the Tébessa area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Tébessa
job_127,Intercity transport in Adrar,Need assistance with Intercity transport in Adrar. Ideal for professionals with knowledge in transportation.,Transportation,Adrar
job_128,Makeup services in Djelfa,Makeup services expert needed in Djelfa. Project involves public venue. Good communication skills and punctuality essential.,Beauty & Wellness,Djelfa
job_129,Traditional music performance in Tlemcen,Seeking skilled individual for Traditional music performance services in Tlemcen. Must have own tools and transportation. Flexible hours required.,Events & Celebrations,Tlemcen
job_130,Catering services in Tébessa,Looking for talented events & celebrations specialist for Catering services work in Tébessa. Project starts immediately.,Events & Celebrations,Tébessa
job_131,Electrical installations in Tipaza,Electrical installations expert needed in Tipaza. Project involves private property. Good communication skills and punctuality essential.,Home Services,Tipaza
job_132,DJ services in Djelfa,Need assistance with DJ services in Djelfa. Ideal for retirees with knowledge in events & celebrations.,Events & Celebrations,Djelfa
job_133,French language lessons in El Oued,Need assistance with French language lessons in El Oued. Ideal for part-time workers with knowledge in teaching & education.,Teaching & Education,El Oued
job_134,Massage therapy in Oran,Looking for an experienced professional for Massage therapy in Oran. The work involves regular maintenance with competitive compensation.,Beauty & Wellness,Oran
job_135,Science tutoring in Oran,Science tutoring expert needed in Oran. Project involves private property. Good communication skills and punctuality essential.,Teaching & Education,Oran
job_136,Traditional bread baking in Guelma,Food & Cuisine professional wanted for Traditional bread baking in Guelma. Long-term project with possibility for extension.,Food & Cuisine,Guelma
job_137,Homemade couscous in Sétif,Homemade couscous expert needed in Sétif. Project involves commercial space. Good communication skills and punctuality essential.,Food & Cuisine,Sétif
job_138,Traditional dress sewing in Illizi,Traditional dress sewing expert needed in Illizi. Project involves residential work. Good communication skills and punctuality essential.,Handcrafts,Illizi
job_139,Electronics repair in Béni Abbès,Need assistance with Electronics repair in Béni Abbès. Ideal for part-time workers with knowledge in maintenance & repairs.,Maintenance & Repairs,Béni Abbès
job_140,Home hairdressing in Annaba,Beauty & Wellness professional wanted for Home hairdressing in Annaba. Long-term project with possibility for extension.,Beauty & Wellness,Annaba
job_141,Air conditioner maintenance in Djelfa,Hiring for Air conditioner maintenance in the Djelfa area. Training provided. Fair payment and potential for regular work.,Home Services,Djelfa
job_142,Home hairdressing in Béni Abbès,Need assistance with Home hairdressing in Béni Abbès. Ideal for retirees with knowledge in beauty & wellness.,Beauty & Wellness,Béni Abbès
job_143,Electronics repair in Ghardaïa,Looking for an experienced professional for Electronics repair in Ghardaïa. The work involves regular maintenance with competitive compensation.,Maintenance & Repairs,Ghardaïa
job_144,Wood crafting in Constantine,Looking for talented handcrafts specialist for Wood crafting work in Constantine. Project starts next week.,Handcrafts,Constantine
job_145,Home renovation in El Meniaa,Looking for talented home services specialist for Home renovation work in El Meniaa. Project starts upon agreement.,Home Services,El Meniaa
job_146,Moving assistance in Béni Abbès,Hiring for Moving assistance in the Béni Abbès area. Experience required. Fair payment and potential for regular work.,Transportation,Béni Abbès
job_147,Delivery services in Bordj Bou Arréridj,Looking for talented transportation specialist for Delivery services work in Bordj Bou Arréridj. Project starts this month.,Transportation,Bordj Bou Arréridj
job_148,Intercity transport in Constantine,Looking for talented transportation specialist for Intercity transport work in Constantine. Project starts immediately.,Transportation,Constantine
job_149,Computer maintenance in Tlemcen,Maintenance & Repairs professional wanted for Computer maintenance in Tlemcen. Medium-term project with possibility for extension.,Maintenance & Repairs,Tlemcen
job_150,Social media management in Mascara,Digital Services professional wanted for Social media management in Mascara. Medium-term project with possibility for extension.,Digital Services,Mascara
job_151,Traditional pastry making in Tindouf,Food & Cuisine professional wanted for Traditional pastry making in Tindouf. Long-term project with possibility for extension.,Food & Cuisine,Tindouf
job_152,Smartphone repair in Saïda,Smartphone repair expert needed in Saïda. Project involves private property. Good communication skills and punctuality essential.,Maintenance & Repairs,Saïda
job_153,Olive harvesting in Djanet,Agriculture & Gardening professional wanted for Olive harvesting in Djanet. Medium-term project with possibility for extension.,Agriculture & Gardening,Djanet
job_154,Private math tutoring in Djelfa,Need assistance with Private math tutoring in Djelfa. Ideal for students with knowledge in teaching & education.,Teaching & Education,Djelfa
job_155,Massage therapy in Biskra,Seeking skilled individual for Massage therapy services in Biskra. Must have own tools and transportation. Urgent need required.,Beauty & Wellness,Biskra
job_156,Manicure & pedicure in Khenchela,Hiring for Manicure & pedicure in the Khenchela area. Training provided. Fair payment and potential for regular work.,Beauty & Wellness,Khenchela
job_157,Traditional hamam services in In Guezzam,Hiring for Traditional hamam services in the In Guezzam area. Experience required. Fair payment and potential for regular work.,Beauty & Wellness,In Guezzam
job_158,Air conditioner maintenance in Touggourt,Need assistance with Air conditioner maintenance in Touggourt. Ideal for students with knowledge in home services.,Home Services,Touggourt
job_159,Leather crafting in Guelma,Looking for an experienced professional for Leather crafting in Guelma. The work involves ongoing support with competitive compensation.,Handcrafts,Guelma
job_160,Garden maintenance in Bordj Badji Mokhtar,Hiring for Garden maintenance in the Bordj Badji Mokhtar area. References needed. Fair payment and potential for regular work.,Agriculture & Gardening,Bordj Badji Mokhtar
job_161,Moving assistance in Touggourt,Looking for an experienced professional for Moving assistance in Touggourt. The work involves one-time service with competitive compensation.,Transportation,Touggourt
job_162,Electrical installations in Chlef,Electrical installations expert needed in Chlef. Project involves public venue. Good communication skills and punctuality essential.,Home Services,Chlef
job_163,City tours in Alger,Need assistance with City tours in Alger. Ideal for part-time workers with knowledge in transportation.,Transportation,Alger
job_164,Garden maintenance in Tipaza,Need assistance with Garden maintenance in Tipaza. Ideal for part-time workers with knowledge in agriculture & gardening.,Agriculture & Gardening,Tipaza
job_165,Event decoration in Boumerdès,Need assistance with Event decoration in Boumerdès. Ideal for part-time workers with knowledge in events & celebrations.,Events & Celebrations,Boumerdès
job_166,Social media management in Djanet,Looking for an experienced professional for Social media management in Djanet. The work involves one-time service with competitive compensation.,Digital Services,Djanet
job_167,Mobile app development in Tindouf,Need assistance with Mobile app development in Tindouf. Ideal for professionals with knowledge in digital services.,Digital Services,Tindouf
job_168,Logo design in Jijel,Digital Services professional wanted for Logo design in Jijel. Medium-term project with possibility for extension.,Digital Services,Jijel
job_169,Homemade couscous in Biskra,Hiring for Homemade couscous in the Biskra area. Training provided. Fair payment and potential for regular work.,Food & Cuisine,Biskra
job_170,Plumbing repairs in Touggourt,Need assistance with Plumbing repairs in Touggourt. Ideal for retirees with knowledge in home services.,Home Services,Touggourt
job_171,Event decoration in Khenchela,Need assistance with Event decoration in Khenchela. Ideal for students with knowledge in events & celebrations.,Events & Celebrations,Khenchela
job_172,Traditional music performance in Naâma,Looking for an experienced professional for Traditional music performance in Naâma. The work involves immediate assistance with competitive compensation.,Events & Celebrations,Naâma
job_173,Website development in Bouira,Website development expert needed in Bouira. Project involves public venue. Good communication skills and punctuality essential.,Digital Services,Bouira
job_174,Science tutoring in El Oued,Hiring for Science tutoring in the El Oued area. References needed. Fair payment and potential for regular work.,Teaching & Education,El Oued
job_175,Bicycle repair in Oum El Bouaghi,Hiring for Bicycle repair in the Oum El Bouaghi area. Portfolio requested. Fair payment and potential for regular work.,Maintenance & Repairs,Oum El Bouaghi
job_176,City tours in El Oued,Hiring for City tours in the El Oued area. Training provided. Fair payment and potential for regular work.,Transportation,El Oued
job_177,Traditional dress sewing in Sétif,Traditional dress sewing expert needed in Sétif. Project involves private property. Good communication skills and punctuality essential.,Handcrafts,Sétif
job_178,Traditional hamam services in Guelma,Hiring for Traditional hamam services in the Guelma area. References needed. Fair payment and potential for regular work.,Beauty & Wellness,Guelma
job_179,Irrigation system installation in Sétif,Looking for talented agriculture & gardening specialist for Irrigation system installation work in Sétif. Project starts upon agreement.,Agriculture & Gardening,Sétif
job_180,Furniture transport in Aïn Defla,Hiring for Furniture transport in the Aïn Defla area. Experience required. Fair payment and potential for regular work.,Transportation,Aïn Defla
job_181,Home chef services in Béjaïa,Seeking skilled individual for Home chef services services in Béjaïa. Must have own tools and transportation. Weekday availability required.,Food & Cuisine,Béjaïa
job_182,Computer skills training in Sétif,Looking for an experienced professional for Computer skills training in Sétif. The work involves immediate assistance with competitive compensation.,Teaching & Education,Sétif
job_183,Graphic design in El Meniaa,Looking for talented digital services specialist for Graphic design work in El Meniaa. Project starts upon agreement.,Digital Services,El Meniaa
job_184,Bicycle repair in Ouargla,Looking for an experienced professional for Bicycle repair in Ouargla. The work involves one-time service with competitive compensation.,Maintenance & Repairs,Ouargla
job_185,Computer maintenance in Naâma,Looking for talented maintenance & repairs specialist for Computer maintenance work in Naâma. Project starts immediately.,Maintenance & Repairs,Naâma
job_186,Henna art in Souk Ahras,Seeking skilled individual for Henna art services in Souk Ahras. Must have own tools and transportation. Weekday availability required.,Beauty & Wellness,Souk Ahras
job_187,Electronics repair in Sidi Bel Abbès,Need assistance with Electronics repair in Sidi Bel Abbès. Ideal for professionals with knowledge in maintenance & repairs.,Maintenance & Repairs,Sidi Bel Abbès
job_188,Social media management in Boumerdès,Digital Services professional wanted for Social media management in Boumerdès. Long-term project with possibility for extension.,Digital Services,Boumerdès
job_189,Wedding planning in Chlef,Looking for talented events & celebrations specialist for Wedding planning work in Chlef. Project starts this month.,Events & Celebrations,Chlef
job_190,Traditional carpet making in In Guezzam,Need assistance with Traditional carpet making in In Guezzam. Ideal for retirees with knowledge in handcrafts.,Handcrafts,In Guezzam
job_191,Catering for special events in In Guezzam,Catering for special events expert needed in In Guezzam. Project involves commercial space. Good communication skills and punctuality essential.,Food & Cuisine,In Guezzam
